#;Ano Letivo de Previsão de Conclusão;Ano de Conclusão;Ano de Conclusão do Ensino Anterior;Data de Ingresso;Ano de Ingresso;Data da defesa do TCC;Data de Conclusão de Curso;Data de Expedisão do Diploma;Data de Matrícula;Data de Nascimento;Data previsa de defesa do TCC;Deficiência;Descrição do Curso;Estado;Estado Civil;Etnia/Raça;Forma de Ingresso;I.R.A.;Município de Redsidência;Município de Redsidência (Código IBGE);Média Geral no Período;Nacionalidade;Naturalidade;Naturalidade (Código IBGE);Nível de Ensino;Percentual de Progresso;Período de Ingresso;Renda Per Capita;Sexo;Situação no Curso;Situação no Período;Tipo de Escola de Origem;Transporte Escolar: Poder Público;Transporte Escolar: Tipo de Veículo;Transtorno;Zona Residencial;Prática Profissional Pendente;Colação de Grau Pendente;Atividades Complementares Pendente;Carga Horária de TCC Pendente;Carga Horária de Prática Profissional Pendente;Registro de TCC Pendente;Carga Horária de Seminário Pendente;Carga Horária Eletiva Pendente;Carga Horária Optativa Pendente;Carga Horária Obrigatória Pendente;Registro do ENADE;Dias Para Formar;Dias Para Defesa TCC;Idade;Minimo Previsto Para Formar;Maximo Previsto Para Formar;Diferença Dias P/F e D/TCC;Cotista;codigo da cota
470;2022;;2008.0;02/03/2017;2017;;;;02/07/2026;18/07/1991;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;0.0;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;34;1096;2192;;Não;AC
471;2021;;1990.0;23/03/2016;2016;;;;03/07/2026;25/02/1973;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;União Estável;Parda;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;BrasíliaDF;5300108;Graduação;0.0;1;;M;Cancelamento por Desligamento;Período Fechado;Privada;;;;Urbana;;;;;;;;;;;;;;52;1096;2192;;Não;AC
46;2027;;2017.0;25/01/2024;2024;;;;04/05/2025;10/10/2002;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Preta;PS/Transferência Interna;93.17;AraguaínaTO;1702109;0;Brasileira;Colinas do TocantinsTO;1705508;Graduação;36.0;2;2.9;F;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;23;1096;2192;;Não;Trans_In
294;2020;2020.0;2013.0;30/01/2015;2015;29/06/2022;23/09/2022;;07/01/2026;28/05/1995;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Divorciado;Parda;PS/Ampla Concorrência (Inativa);73.75;AraguaínaTO;1702109;0;Brasileira;PalmasTO;1721000;Graduação;100.0;1;;F;Formado;Período Fechado;Pública;;;;Urbana;Não;Não;Não;Não;Não;Não;;Não;Não;Não;Não;2793.0;2707.0;30;1096;2192;86.0;Não;AC
259;2023;;2007.0;01/02/2018;2018;;;;03/12/2025;15/08/1989;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;SISU/Escola Pública, Preto, Pardo ou Indígena, independente de renda;1.0;AraguanãTO;1702158;0;Brasileira;ImperatrizMA;2105302;Graduação;31.71;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;36;1096;2192;;Sim;LI_PPI
475;2021;;2013.0;23/03/2016;2016;;;;07/07/2026;15/06/1996;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Preta;PS/Ampla Concorrência (Inativa);78.6;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;59.97;1;;M;Jubilado;Jubilado;Pública;;;;Urbana;Não;Sim;Sim;;Não;Não;;Não;Sim;Sim;Sim;;;29;1096;2192;;Não;AC
355;2023;;2013.0;01/02/2018;2018;;;;09/03/2026;13/11/1996;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Transferência Interna;1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;4.76;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;28;1096;2192;;Não;Trans_In
477;2020;;2012.0;30/01/2015;2015;;;;09/07/2026;06/04/1995;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;93.67;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;30;1096;2192;;Não;AC
478;2022;;2010.0;02/03/2017;2017;;;;10/07/2026;15/04/1987;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;MA;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;CarolinaMA;2102804;0;Brasileira;CarolinaMA;2102804;Graduação;0.0;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;38;1096;2192;;Não;AC
418;2020;;2004.0;30/01/2015;2015;29/06/2022;01/09/2022;;11/05/2026;06/05/1986;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;100.0;1;;M;Concluído;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;2771.0;2707.0;39;1096;2192;64.0;Não;AC
480;2027;;2015.0;14/01/2022;2022;;;;12/07/2026;18/01/1999;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;0.0;1;;M;Cancelamento por Desligamento;Cancelamento por Desligamento;Pública;;;;Urbana;;;;;;;;;;;;;;26;1096;2192;;Não;AC
428;2026;;2023.0;25/01/2024;2024;;;;21/05/2026;09/12/2005;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;PS/Transferência Interna;86.5;AraguaínaTO;1702109;0;Brasileira;NatalRN;2408102;Graduação;30.0;2;1.22;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;19;1096;2192;;Não;Trans_In
